incoming,converted,n_incoming,n_converted,name,description,namespaces,query
CA6,ENSG00000131686,2,1,CA6,carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
PADI4,ENSG00000159339,3,1,PADI4,peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
EXTL1,ENSG00000158008,4,1,EXTL1,exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC30A2,ENSG00000158014,5,1,SLC30A2,solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
FABP3,ENSG00000121769,7,1,FABP3,fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
LDC1P,ENSG00000260386,9,1,LDC1P,"leucine decarboxylase 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:49677]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
LDC1P,ENSG00000293391,9,2,LDC1P,"leucine decarboxylase 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:49677]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
LPAR3,ENSG00000171517,13,1,LPAR3,lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
PPM1J-DT,ENSG00000261595,16,1,PPM1J-DT,PPM1J divergent transcript [Source:HGNC Symbol;Acc:HGNC:55355],"GENECARDS,HGNC",query_1
SPRR2F,ENSG00000244094,17,1,SPRR2F,small proline rich protein 2F [Source:HGNC Symbol;Acc:HGNC:11266],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
S100A8,ENSG00000143546,18,1,S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
XDH,ENSG00000158125,21,1,XDH,xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
LHCGR,ENSG00000138039,23,1,LHCGR,luteinizing hormone/choriogonadotropin receptor [Source:HGNC Symbol;Acc:HGNC:6585],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
IGKV3-7,ENSG00000243063,24,1,IGKV3-7,immunoglobulin kappa variable 3-7 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5821],"GENECARDS,HGNC,UNIPROT_GN",query_1
IGKV1D-42,ENSG00000211633,25,1,IGKV1D-42,immunoglobulin kappa variable 1D-42 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5757],"GENECARDS,HGNC,UNIPROT_GN",query_1
TRIM43B,ENSG00000144010,26,1,TRIM43B,tripartite motif containing 43B [Source:HGNC Symbol;Acc:HGNC:37146],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
TRIM43B,ENSG00000144015,26,2,TRIM43,tripartite motif containing 43 [Source:HGNC Symbol;Acc:HGNC:19015],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
TRIM43,ENSG00000144015,27,1,TRIM43,tripartite motif containing 43 [Source:HGNC Symbol;Acc:HGNC:19015],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC9A4,ENSG00000180251,28,1,SLC9A4,solute carrier family 9 member A4 [Source:HGNC Symbol;Acc:HGNC:11077],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
SULT1C2,ENSG00000198203,29,1,SULT1C2,sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
MARCO,ENSG00000019169,30,1,MARCO,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
TEX41,ENSG00000226674,31,1,TEX41,testis expressed 41 [Source:HGNC Symbol;Acc:HGNC:48667],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
DAPL1,ENSG00000163331,32,1,DAPL1,death associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:21490],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
DHRS9,ENSG00000073737,33,1,DHRS9,dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01827,ENSG00000234919,34,1,LINC01827,long intergenic non-protein coding RNA 1827 [Source:HGNC Symbol;Acc:HGNC:52633],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
MIR6809,ENSG00000275458,35,1,MIR6809,microRNA 6809 [Source:HGNC Symbol;Acc:HGNC:49926],"ENTREZGENE,HGNC,WIKIGENE",query_1
PTPRN,ENSG00000054356,36,1,PTPRN,protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC6A1-AS1,ENSG00000232287,37,1,SLC6A1-AS1,SLC6A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40546],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
TRIM71,ENSG00000206557,38,1,TRIM71,tripartite motif containing 71 [Source:HGNC Symbol;Acc:HGNC:32669],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
ARPP21,ENSG00000172995,39,1,ARPP21,cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
FAM240A,ENSG00000283473,40,1,FAM240A,family with sequence similarity 240 member A [Source:HGNC Symbol;Acc:HGNC:52390],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
SPINK8,ENSG00000229453,41,1,SPINK8,serine peptidase inhibitor Kazal type 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33160],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
FEZF2,ENSG00000153266,42,1,FEZF2,FEZ family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13506],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
TAFA4,ENSG00000163377,43,1,TAFA4,TAFA chemokine like family member 4 [Source:HGNC Symbol;Acc:HGNC:21591],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
PROK2,ENSG00000163421,44,1,PROK2,prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
STXBP5L,ENSG00000145087,46,1,STXBP5L,syntaxin binding protein 5L [Source:HGNC Symbol;Acc:HGNC:30757],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
MECOM-AS1,ENSG00000241479,49,1,MECOM-AS1,MECOM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40368],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
LRRC31,ENSG00000114248,50,1,LRRC31,leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
ECE2,ENSG00000145194,51,1,ECE2,endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
DRD5,ENSG00000169676,52,1,DRD5,dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01096,ENSG00000246095,54,1,LINC01096,long intergenic non-protein coding RNA 1096 [Source:HGNC Symbol;Acc:HGNC:27739],"GENECARDS,HGNC",query_1
LOC105374542,ENSG00000302045,55,1,None,"novel transcript, antisense to RBPJ","ENTREZGENE,WIKIGENE",query_1
CWH43,ENSG00000109182,56,1,CWH43,cell wall biogenesis 43 C-terminal homolog [Source:HGNC Symbol;Acc:HGNC:26133],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
RASL11B,ENSG00000128045,57,1,RASL11B,RAS like family 11 member B [Source:HGNC Symbol;Acc:HGNC:23804],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
NMU,ENSG00000109255,58,1,NMU,neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMPRSS11E,ENSG00000087128,59,1,TMPRSS11E,transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
UGT2B15,ENSG00000196620,60,1,UGT2B15,UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
UGT2B10,ENSG00000109181,61,1,UGT2B10,UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
UGT2B11,ENSG00000213759,63,1,UGT2B11,UDP glucuronosyltransferase family 2 member B11 [Source:HGNC Symbol;Acc:HGNC:12545],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
CSN1S1,ENSG00000126545,64,1,CSN1S1,casein alpha s1 [Source:HGNC Symbol;Acc:HGNC:2445],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
CSN2,ENSG00000135222,65,1,CSN2,casein beta [Source:HGNC Symbol;Acc:HGNC:2447],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
CSN1S2AP,ENSG00000234124,67,1,CSN1S2AP,"casein alpha s2 like A, pseudogene [Source:HGNC Symbol;Acc:HGNC:20230]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
CSN1S2AP,ENSG00000293421,67,2,CSN1S2AP,"casein alpha s2 like A, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:286828]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE",query_1
PRR27,ENSG00000187533,68,1,PRR27,proline rich 27 [Source:HGNC Symbol;Acc:HGNC:33193],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
ODAM,ENSG00000109205,69,1,ODAM,"odontogenic, ameloblast associated [Source:HGNC Symbol;Acc:HGNC:26043]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
CSN3,ENSG00000171209,70,1,CSN3,casein kappa [Source:HGNC Symbol;Acc:HGNC:2446],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
OPRPN,ENSG00000171199,71,1,OPRPN,opiorphin prepropeptide [Source:HGNC Symbol;Acc:HGNC:17279],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
NPFFR2,ENSG00000056291,72,1,NPFFR2,neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
ALB,ENSG00000163631,73,1,ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
CXCL6,ENSG00000124875,74,1,CXCL6,C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE",query_1
